age,birthday,collection_day,contract_until,feet,height,id,joined_in,market_value,name,shirt_number,team_name
31,13/12/1987,2019/04/25,31.12.2022,direito,189,69400,01/01/2018,3.00,Wéverton,21,Sociedade Esportiva Palmeiras
37,20/07/1981,2019/04/25,31.12.2020,direito,186,112940,02/10/2014,0.75,Jaílson,42,Sociedade Esportiva Palmeiras
40,09/07/1978,2019/04/25,31.12.2019,direito,191,31315,01/01/2013,0.5,Fernando Prass,1,Sociedade Esportiva Palmeiras
20,08/03/1999,2019/04/25,31.07.2019,,,598975,,0.05,Matheus Teixeira,51,Sociedade Esportiva Palmeiras
25,06/05/1993,2019/04/25,30.06.2019,direito,185,215390,02/08/2018,3.50,Gustavo Gómez,15,Sociedade Esportiva Palmeiras
25,10/05/1993,2019/04/25,31.03.2022,direito,186,178984,05/04/2017,2.00,Luan,13,Sociedade Esportiva Palmeiras
26,07/03/1993,2019/04/25,30.06.2023,direito,191,207446,27/07/2018,2.00,Antônio Carlos,25,Sociedade Esportiva Palmeiras
24,02/01/1995,2019/04/25,30.04.2022,esquerdo,187,383638,16/05/2017,1.00,Juninho,34,Sociedade Esportiva Palmeiras
37,18/05/1981,2019/04/25,31.12.2019,direito,187,15419,01/01/2016,0.7,Edú Dracena,3,Sociedade Esportiva Palmeiras
26,17/08/1992,2019/04/25,31.12.2023,esquerdo,179,167724,01/01/2018,2.75,Diogo Barbosa,6,Sociedade Esportiva Palmeiras
25,23/06/1993,2019/04/25,31.12.2022,esquerdo,180,234538,01/07/2013,2.00,Victor Luis,26,Sociedade Esportiva Palmeiras
18,02/02/2001,2019/04/25,18.09.2020,esquerdo,187,432166,,,Luan Cândido,36,Sociedade Esportiva Palmeiras
30,11/12/1988,2019/04/25,31.12.2022,direito,176,75435,10/01/2019,2.50,Marcos Rocha,2,Sociedade Esportiva Palmeiras
26,10/11/1992,2019/04/25,31.12.2023,direito,178,147361,01/01/2019,2.00,Mayke,12,Sociedade Esportiva Palmeiras
32,24/06/1986,2019/04/25,31.12.2019,direito,170,69641,15/01/2016,2.00,Jean,17,Sociedade Esportiva Palmeiras
27,18/11/1991,2019/04/25,31.12.2021,direito,188,271335,11/01/2017,1.25,Fabiano,32,Sociedade Esportiva Palmeiras
29,05/09/1989,2019/04/25,31.12.2022,direito,181,346922,24/08/2015,1.25,Thiago Santos,5,Sociedade Esportiva Palmeiras
35,26/06/1983,2019/04/25,31.12.2019,direito,183,35537,01/07/2017,1.00,Felipe Melo,30,Sociedade Esportiva Palmeiras
23,13/05/1995,2019/04/25,31.12.2020,direito,178,407654,01/10/2015,0.7,Matheus Sales,,Sociedade Esportiva Palmeiras
19,09/12/1999,2019/04/25,31.12.2022,direito,182,520626,,0.05,Gabriel Furtado,45,Sociedade Esportiva Palmeiras
29,21/10/1989,2019/04/25,31.12.2023,direito,180,277335,21/06/2017,4.50,Bruno Henrique,19,Sociedade Esportiva Palmeiras
20,30/06/1998,2019/04/25,31.12.2023,direito,183,351892,01/01/2019,4.00,Matheus Fernandes,35,Sociedade Esportiva Palmeiras
31,17/03/1988,2019/04/25,31.12.2020,direito,184,128822,01/01/2016,3.50,Moisés,10,Sociedade Esportiva Palmeiras
23,19/06/1995,2019/04/25,25.12.2021,esquerdo,176,432953,19/12/2016,2.00,Raphael Veiga,23,Sociedade Esportiva Palmeiras
27,07/01/1992,2019/04/25,31.12.2023,direito,166,114937,11/01/2015,15.00,Dudu,7,Sociedade Esportiva Palmeiras
24,10/04/1995,2019/04/25,,direito,181,387928,01/01/2016,0.6,Lucas Taylor,,Sociedade Esportiva Palmeiras
25,05/01/1994,2019/04/25,15.01.2022,esquerdo,177,330085,27/06/2018,8.00,Gustavo Scarpa,14,Sociedade Esportiva Palmeiras
28,09/07/1990,2019/04/25,31.12.2022,esquerdo,176,232847,01/01/2018,8.00,Lucas Lima,20,Sociedade Esportiva Palmeiras
25,16/06/1993,2019/04/25,31.12.2023,direito,175,225432,01/01/2019,3.50,Zé Rafael,8,Sociedade Esportiva Palmeiras
25,25/05/1993,2019/04/25,25.12.2020,direito,174,338861,19/12/2016,1.25,Hyoran,28,Sociedade Esportiva Palmeiras
33,09/07/1985,2019/04/25,31.12.2019,direito,172,72540,01/01/2017,0.9,Alejandro Guerra,18,Sociedade Esportiva Palmeiras
21,24/03/1998,2019/04/25,25.04.2021,direito,176,323944,01/01/2017,0.5,Vitinho,,Sociedade Esportiva Palmeiras
24,06/03/1995,2019/04/25,20.03.2019,esquerdo,171,394417,,0.15,Gabriel Leite,,Sociedade Esportiva Palmeiras
24,18/04/1995,2019/04/25,31.12.2019,direito,178,327911,01/01/2019,1.50,Felipe Pires,27,Sociedade Esportiva Palmeiras
22,10/10/1996,2019/04/25,31.12.2023,direito,173,363794,01/01/2019,4.00,Carlos Eduardo,37,Sociedade Esportiva Palmeiras
27,05/06/1991,2019/04/25,31.12.2019,direito,183,106076,15/01/2019,15.00,Ricardo Goulart,11,Sociedade Esportiva Palmeiras
26,26/01/1993,2019/04/25,30.06.2021,direito,183,211397,10/02/2017,5.00,Miguel Borja,9,Sociedade Esportiva Palmeiras
27,08/05/1991,2019/04/25,30.06.2022,esquerdo,187,243541,12/07/2017,4.00,Deyverson,16,Sociedade Esportiva Palmeiras
32,19/11/1986,2019/04/25,31.12.2021,direito,171,55338,11/01/2017,2.50,Willian,29,Sociedade Esportiva Palmeiras
21,25/04/1998,2019/04/25,31.12.2023,direito,186,390638,01/01/2019,1.00,Arthur Cabral,39,Sociedade Esportiva Palmeiras
33,24/06/1985,2019/04/25,31.12.2020,esquerdo,187,42373,16/07/2017,4.00,Diego Alves,1,Clube de Regatas do Flamengo
27,27/01/1992,2019/04/25,30.04.2022,direito,194,177776,01/01/2013,0.9,César,37,Clube de Regatas do Flamengo
22,12/06/1996,2019/04/25,31.12.2020,direito,185,294817,01/01/2016,0.1,Thiago da Silva,,Clube de Regatas do Flamengo
20,03/06/1998,2019/04/25,31.12.2022,direito,188,401535,01/01/2017,0.05,Gabriel Batista,45,Clube de Regatas do Flamengo
25,17/08/1993,2019/04/25,31.12.2023,direito,183,172054,01/01/2019,6.00,Rodrigo Caio,3,Clube de Regatas do Flamengo
22,17/07/1996,2019/04/25,31.12.2022,direito,183,312678,01/01/2016,4.00,Léo Duarte,43,Clube de Regatas do Flamengo
32,11/08/1986,2019/04/25,31.12.2019,direito,193,55322,12/06/2017,1.00,Rhodolfo,44,Clube de Regatas do Flamengo
40,01/02/1979,2019/04/25,30.04.2019,direito,182,1599,01/01/2016,0.5,Juan,4,Clube de Regatas do Flamengo
20,10/03/1999,2019/04/25,30.07.2023,direito,185,549815,01/01/2018,0.1,Thuler,26,Clube de Regatas do Flamengo
20,05/09/1998,2019/04/25,31.12.2019,direito,185,587349,,0.05,Matheus Dantas,55,Clube de Regatas do Flamengo
21,02/02/1998,2019/04/25,31.12.2022,esquerdo,190,603137,,0.05,Rafael Santos,58,Clube de Regatas do Flamengo
26,14/09/1992,2019/04/25,31.12.2020,esquerdo,174,212209,06/02/2017,3.00,Renê,6,Clube de Regatas do Flamengo
26,03/07/1992,2019/04/25,31.12.2019,esquerdo,170,177690,01/01/2017,1.75,Miguel Trauco,13,Clube de Regatas do Flamengo
27,29/01/1992,2019/04/25,31.12.2022,direito,175,185966,02/01/2016,2.00,Rodinei,2,Clube de Regatas do Flamengo
33,14/02/1986,2019/04/25,31.12.2019,direito,173,76100,01/01/2016,1.00,Pará,21,Clube de Regatas do Flamengo
20,02/08/1998,2019/04/25,31.12.2019,direito,163,323868,06/11/2017,0.05,Kléber,31,Clube de Regatas do Flamengo
26,14/10/1992,2019/04/25,30.06.2022,direito,176,119333,28/01/2016,3.50,Gustavo Cuéllar,8,Clube de Regatas do Flamengo
24,26/07/1994,2019/04/25,31.12.2022,direito,178,273033,01/08/2018,2.00,Piris da Motta,25,Clube de Regatas do Flamengo
22,23/10/1996,2019/04/25,31.12.2020,direito,175,405768,01/06/2016,0.5,Ronaldo,16,Clube de Regatas do Flamengo
21,03/01/1998,2019/04/25,,direito,177,644157,,0.05,Hugo Moura,56,Clube de Regatas do Flamengo
26,03/12/1992,2019/04/25,31.12.2021,direito,181,210747,01/01/2016,3.00,Willian Arão,5,Clube de Regatas do Flamengo
24,01/06/1994,2019/04/25,31.12.2023,direito,174,248410,12/01/2019,13.00,Giorgian de Arrascaeta,14,Clube de Regatas do Flamengo
30,10/04/1989,2019/04/25,31.05.2021,esquerdo,174,52896,20/06/2017,10.00,Éverton Ribeiro,7,Clube de Regatas do Flamengo
34,28/02/1985,2019/04/25,31.12.2020,direito,173,4248,19/07/2016,4.00,Diego,10,Clube de Regatas do Flamengo
18,02/01/2001,2019/04/25,02.05.2020,direito,,432161,,0.05,Yuri,57,Clube de Regatas do Flamengo
17,19/01/2002,2019/04/25,31.12.2021,direito,185,627226,,,Reinier,19,Clube de Regatas do Flamengo
25,09/10/1993,2019/04/25,31.12.2022,ambos,180,213605,30/07/2018,8.00,Vitinho,11,Clube de Regatas do Flamengo
